"State","state","pixel_diameter","location","area","blindEst","blindIPUMS","StateTotalIPUMS"
"Alabama","ALA",93,"4I",6792.90871522453,381.693329042463,NA,NA
"Alabama","ALA",120,"3",11309.7335529233,635.493575929182,946.622298856278,1302294.11350837
"Alabama","ALA",120,"2",11309.7335529233,635.493575929182,946.622298856278,1302294.11350837
"Alabama","ALA",123,"4O",11882.28881404,667.665438210594,946.622298856278,1302294.11350837
"Arkansas","ARK",88,"4O",6082.12337734984,341.754323055248,430.28286311649,535185.82514429
"Arkansas","ARK",89,"3",6221.13885227119,349.565598259377,430.28286311649,535185.82514429
"Arkansas","ARK",61,"4I",2922.4665660019,164.213305280033,NA,NA
"Arkansas","ARK",91,"2",6503.88219109427,365.452937657607,430.28286311649,535185.82514429
"California","CAL",69,"2",3739.28065593525,210.110063541585,172.113145246596,475978.903179461
"California","CAL",68,"3",3631.6811075498,204.064048270592,172.113145246596,475978.903179461
"California","CAL",40,"4I",1256.63706143592,70.6103973254645,NA,NA
"California","CAL",68,"4O",3631.6811075498,204.064048270592,172.113145246596,475978.903179461
"Connecticut","CONN",84,"2",5541.76944093239,311.391852205298,0,465221.831601549
"Connecticut","CONN",79,"4O",4901.66993776347,275.424681067639,0,465221.831601549
"Connecticut","CONN",66,"4I",3421.19439975928,192.236806718576,NA,NA
"Connecticut","CONN",81,"3",5152.99735005066,289.546760532732,0,465221.831601549
"Delaware","DEL",42,"4O",1385.4423602331,77.8479630513245,86.056572623298,146296.173459607
"Delaware","DEL",30,"4I",706.858347057703,39.7183484955737,NA,NA
"Delaware","DEL",45,"2",1590.43128087983,89.3662841150407,86.056572623298,146296.173459607
"Delaware","DEL",44,"3",1520.53084433746,85.4385807638119,86.056572623298,146296.173459607
"Florida","FLA",29,"4I",660.519855417254,37.1145900941972,NA,NA
"Florida","FLA",47,"4O",1734.94454294496,97.4864798074691,258.169717869894,261784.093920073
"Florida","FLA",45,"3",1590.43128087983,89.3662841150407,258.169717869894,261784.093920073
"Florida","FLA",47,"2",1734.94454294496,97.4864798074691,258.169717869894,261784.093920073
"Georgia","GA",136,"3",14526.7244301992,816.256193082368,860.56572623298,1551341.83468019
"Georgia","GA",133,"2",13892.9081123375,780.642073931339,860.56572623298,1551341.83468019
"Georgia","GA",106,"4I",8824.73376393373,495.861515218073,NA,NA
"Georgia","GA",133,"4O",13892.9081123375,780.642073931339,860.56572623298,1551341.83468019
"Illinois","ILL",161,"2",20358.3057934253,1143.93256817085,774.509153609682,2284543.83343069
"Illinois","ILL",159,"3",19855.6509688509,1115.68840924067,774.509153609682,2284543.83343069
"Illinois","ILL",108,"4I",9160.88417786784,514.749796502635,NA,NA
"Illinois","ILL",160,"4O",20106.1929829747,1129.76635720743,774.509153609682,2284543.83343069
"Indiana","IND",114,"4I",10207.0345315132,573.532952276082,NA,NA
"Indiana","IND",159,"3",19855.6509688509,1115.68840924067,1462.96173459607,1502117.47513967
"Indiana","IND",153,"4O",18385.3856069709,1033.07424436987,1462.96173459607,1502117.47513967
"Indiana","IND",158,"2",19606.6797510539,1101.69872427056,1462.96173459607,1502117.47513967
"Iowa","IA",64,"4I",3216.99087727595,180.762617153189,NA,NA
"Iowa","IA",103,"2",8332.28911548353,468.191065766157,688.452580986384,1006259.50368422
"Iowa","IA",103,"4O",8332.28911548353,468.191065766157,688.452580986384,1006259.50368422
"Iowa","IA",102,"3",8171.28249198705,459.144108608832,688.452580986384,1006259.50368422
"Kansas","KAN",59,"4O",2733.97100678652,153.621745681214,172.113145246596,341128.253878753
"Kansas","KAN",58,"2",2642.07942166902,148.458360376789,172.113145246596,341128.253878753
"Kansas","KAN",18,"4I",254.469004940773,14.2986054584065,NA,NA
"Kansas","KAN",56,"3",2463.0086404144,138.39637875791,172.113145246596,341128.253878753
"Kentucky","KY",154,"3",18626.5028431339,1046.6226143567,602.396008363086,1452979.17217176
"Kentucky","KY",158,"2",19606.6797510539,1101.69872427056,602.396008363086,1452979.17217176
"Kentucky","KY",156,"4O",19113.4497044403,1073.98414332031,602.396008363086,1452979.17217176
"Kentucky","KY",127,"4I",12667.6869774374,711.796936539007,NA,NA
"Louisiana","LA",75,"4I",4417.86466911065,248.239678097336,NA,NA
"Louisiana","LA",103,"4O",8332.28911548353,468.191065766157,946.622298856278,995158.205815818
"Louisiana","LA",102,"2",8171.28249198705,459.144108608832,946.622298856278,995158.205815818
"Louisiana","LA",104,"3",8494.8665353068,477.326285920139,946.622298856278,995158.205815818
"Maine","ME",88,"2",6082.12337734984,341.754323055248,172.113145246596,509368.853357301
"Maine","ME",71,"4I",3959.19214168654,222.466883073541,NA,NA
"Maine","ME",84,"4O",5541.76944093239,311.391852205298,172.113145246596,509368.853357301
"Maine","ME",88,"3",6082.12337734984,341.754323055248,172.113145246596,509368.853357301
"Maryland","MD",101,"2",8011.84666481737,450.185414448164,258.169717869894,877863.097330263
"Maryland","MD",101,"4O",8011.84666481737,450.185414448164,258.169717869894,877863.097330263
"Maryland","MD",82,"4I",5281.01725068444,296.740194760264,NA,NA
"Maryland","MD",104,"3",8494.8665353068,477.326285920139,258.169717869894,877863.097330263
"Massachusetts","MASS",135,"2",14313.8815279185,804.296557035368,946.622298856278,1272088.25651759
"Massachusetts","MASS",136,"3",14526.7244301992,816.256193082368,946.622298856278,1272088.25651759
"Massachusetts","MASS",135,"4O",14313.8815279185,804.296557035368,946.622298856278,1272088.25651759
"Massachusetts","MASS",108,"4I",9160.88417786784,514.749796502635,NA,NA
"Michigan","MICH",100,"2",7853.98163397448,441.314983284152,172.113145246596,1011681.06775949
"Michigan","MICH",102,"4O",8171.28249198705,459.144108608832,172.113145246596,1011681.06775949
"Michigan","MICH",100,"3",7853.98163397448,441.314983284152,172.113145246596,1011681.06775949
"Michigan","MICH",78,"4I",4778.36242611007,268.496035830078,NA,NA
"Minnesota","MINN",49,"4O",1885.74099031727,105.959727486525,0,400335.175843582
"Minnesota","MINN",52,"3",2123.7166338267,119.331571480035,0,400335.175843582
"Minnesota","MINN",48,"2",1809.55736846772,101.678972148669,0,400335.175843582
"Minnesota","MINN",24,"4I",452.38934211693,25.4197430371672,NA,NA
"Mississippi","MISS",91,"3",6503.88219109427,365.452937657607,516.339435739788,1127943.49737357
"Mississippi","MISS",80,"4I",5026.54824574367,282.441589301858,NA,NA
"Mississippi","MISS",91,"2",6503.88219109427,365.452937657607,516.339435739788,1127943.49737357
"Mississippi","MISS",89,"4O",6221.13885227119,349.565598259377,516.339435739788,1127943.49737357
"Missouri","MO",146,"4O",16741.54725098,940.707018368498,430.28286311649,1642303.63194302
"Missouri","MO",98,"4I",7542.96396126909,423.8389099461,NA,NA
"Missouri","MO",148,"3",17203.3613710577,966.656339385607,430.28286311649,1642303.63194302
"Missouri","MO",150,"2",17671.4586764426,992.958712389343,430.28286311649,1642303.63194302
"Nebraska","NEB",12,"4I",113.097335529233,6.35493575929182,NA,NA
"Nebraska","NEB",28,"3",615.752160103599,34.5990946894775,86.056572623298,99223.2282346626
"Nebraska","NEB",31,"4O",754.767635024948,42.410369893607,86.056572623298,99223.2282346626
"Nebraska","NEB",25,"2",490.873852123405,27.5821864552595,86.056572623298,99223.2282346626
"New Hampshire","NH",70,"2",3848.4510006475,216.244341809235,86.056572623298,282609.784494911
"New Hampshire","NH",59,"4I",2733.97100678652,153.621745681214,NA,NA
"New Hampshire","NH",74,"4O",4300.84034276443,241.664084846402,86.056572623298,282609.784494911
"New Hampshire","NH",71,"3",3959.19214168654,222.466883073541,86.056572623298,282609.784494911
"New Jersey","NJ",90,"3",6361.72512351933,357.465136460163,344.226290493192,816935.043912968
"New Jersey","NJ",93,"4O",6792.90871522453,381.693329042463,344.226290493192,816935.043912968
"New Jersey","NJ",91,"2",6503.88219109427,365.452937657607,344.226290493192,816935.043912968
"New Jersey","NJ",72,"4I",4071.50407905237,228.777687334504,NA,NA
"New York","NY",208,"4I",33979.4661412272,1909.30514368056,NA,NA
"New York","NY",235,"2",43373.6135736241,2437.16199518673,2237.47088820575,3773580.70953162
"New York","NY",231,"3",41909.6313970512,2354.90088230256,2237.47088820575,3773580.70953162
"New York","NY",231,"4O",41909.6313970512,2354.90088230256,2237.47088820575,3773580.70953162
"North Carolina","NC",117,"4I",10751.3154587477,604.116080617678,NA,NA
"North Carolina","NC",138,"4O",14957.122623741,840.440254166339,1118.73544410287,1314514.14682088
"North Carolina","NC",142,"3",15836.7685667461,889.867532294162,1118.73544410287,1314514.14682088
"North Carolina","NC",142,"2",15836.7685667461,889.867532294162,1118.73544410287,1314514.14682088
"Ohio","OHIO",183,"4O",26302.1990940171,1477.9197475203,1118.73544410287,2326453.38429824
"Ohio","OHIO",142,"4I",15836.7685667461,889.867532294162,NA,NA
"Ohio","OHIO",182,"3",26015.5287643771,1461.81175063043,1118.73544410287,2326453.38429824
"Ohio","OHIO",185,"2",26880.2521422777,1510.40053029001,1118.73544410287,2326453.38429824
"Oregon","OR",31,"3",754.767635024948,42.410369893607,0,81065.2914111467
"Oregon","OR",29,"2",660.519855417254,37.1145900941972,0,81065.2914111467
"Oregon","OR",16,"4I",201.061929829747,11.2976635720743,NA,NA
"Oregon","OR",30,"4O",706.858347057703,39.7183484955737,0,81065.2914111467
"Pennsylvania","PENN",169,"4I",22431.7569447945,1260.43972375787,NA,NA
"Pennsylvania","PENN",202,"2",32047.3866592695,1800.74165779266,2581.69717869894,3057848.19502365
"Pennsylvania","PENN",204,"3",32685.1299679482,1836.57643443533,2581.69717869894,3057848.19502365
"Pennsylvania","PENN",207,"4O",33653.5259034173,1890.99057187427,2581.69717869894,3057848.19502365
"Rhode Island","RI",56,"4O",2463.0086404144,138.39637875791,86.056572623298,183300.499687625
"Rhode Island","RI",57,"2",2551.75863287831,143.383238069021,86.056572623298,183300.499687625
"Rhode Island","RI",57,"3",2551.75863287831,143.383238069021,86.056572623298,183300.499687625
"Rhode Island","RI",46,"4I",1661.902513749,93.3822504629266,NA,NA
"South Carolina","SC",105,"4O",8659.01475145687,486.549769070778,602.396008363086,996879.337268284
"South Carolina","SC",105,"3",8659.01475145687,486.549769070778,602.396008363086,996879.337268284
"South Carolina","SC",89,"4I",6221.13885227119,349.565598259377,NA,NA
"South Carolina","SC",105,"2",8659.01475145687,486.549769070778,602.396008363086,996879.337268284
"Tennessee","TENN",146,"3",16741.54725098,940.707018368498,1204.79201672617,1448676.3435406
"Tennessee","TENN",117,"4I",10751.3154587477,604.116080617678,NA,NA
"Tennessee","TENN",144,"2",16286.0163162095,915.110749338019,1204.79201672617,1448676.3435406
"Tennessee","TENN",144,"4O",16286.0163162095,915.110749338019,1204.79201672617,1448676.3435406
"Texas","TEX",101,"2",8011.84666481737,450.185414448164,602.396008363086,957207.257288944
"Texas","TEX",64,"4I",3216.99087727595,180.762617153189,NA,NA
"Texas","TEX",98,"4O",7542.96396126909,423.8389099461,602.396008363086,957207.257288944
"Texas","TEX",100,"3",7853.98163397448,441.314983284152,602.396008363086,957207.257288944
"US","USA",701,"1L",385945.442891669,21686.2624100815,NA,NA
"US","USA",700,"1R",384845.10006475,21624.4341809235,NA,NA
"Vermont","VT",70,"3",3848.4510006475,216.244341809235,0,283384.29364852
"Vermont","VT",69,"4O",3739.28065593525,210.110063541585,0,283384.29364852
"Vermont","VT",71,"2",3959.19214168654,222.466883073541,0,283384.29364852
"Vermont","VT",59,"4I",2733.97100678652,153.621745681214,NA,NA
"Virginia","VA",148,"2",17203.3613710577,966.656339385607,1204.79201672617,1607364.66345796
"Virginia","VA",139,"4I",15174.6779150021,852.664679203311,NA,NA
"Virginia","VA",158,"4O",19606.6797510539,1101.69872427056,1204.79201672617,1607364.66345796
"Virginia","VA",150,"3",17671.4586764426,992.958712389343,1204.79201672617,1607364.66345796
"West Virginia","WVA",65,"3",3318.30724035422,186.455580437554,0,404724.061047371
"West Virginia","WVA",64,"2",3216.99087727595,180.762617153189,0,404724.061047371
"Wisconsin","WIS",101,"3",8011.84666481737,450.185414448164,172.113145246596,898774.844477724
"Wisconsin","WIS",100,"2",7853.98163397448,441.314983284152,172.113145246596,898774.844477724
"Wisconsin","WIS",86,"4I",5808.80481648753,326.396561636959,NA,NA
"Wisconsin","WIS",98,"4O",7542.96396126909,423.8389099461,172.113145246596,898774.844477724
"Arizona",NA,NA,NA,NA,NA,0,7917.20468134342
"Colorado",NA,NA,NA,NA,NA,0,32701.4975968532
"District of Columbia",NA,NA,NA,NA,NA,86.056572623298,168326.656051171
"Idaho",NA,NA,NA,NA,NA,0,13510.8819018578
"Montana",NA,NA,NA,NA,NA,0,14457.5042007141
"Nevada",NA,NA,NA,NA,NA,0,37692.7788090045
"New Mexico",NA,NA,NA,NA,NA,172.113145246596,72717.8038666868
"North Dakota",NA,NA,NA,NA,NA,0,1462.96173459607
"South Dakota",NA,NA,NA,NA,NA,0,11531.5807315219
"Utah",NA,NA,NA,NA,NA,86.056572623298,75213.4444727625
"Washington",NA,NA,NA,NA,NA,0,19879.0682759818
"Wyoming",NA,NA,NA,NA,NA,0,5679.73379313767
